CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Title,CB Tags,CB Background Information,CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
2173,Person,THOMAS,MEYERS,,,lance98@hotmail.com,,Mr.,"Major Donor, Pitch Perfect",Job Title: Administrative Assistant,"$11,100.00",2022-12-11,"$10,000.00"
2382,Person,Mark,Peters,,2018-05-21,,,Mrs.,"Major Donor, Pitch Perfect, Board Member",Job Title: IT Consultant,,,
2433,Person,Dylan and Anna,Adams,,,shelby30@olsen-oliver.com,johnbrown@gmail.com,,"Pitch Perfect, Major Donor, Student Scholar, Board Member",Job Title: Software Engineer,"$14,000.00",2021-12-06,"$1,000.00"
2481,Person,James,Trujillo,,2024-06-23,carrie32@forbes.com,donald21@houston.com,,"Pitch Perfect, VIP",Job Title: Administrative Assistant,"$10,600.00",2022-01-05,"$10,000.00"
2581,Person,Lori,Cummings,,2018-11-20,alyssagarcia@gmail.com,steven65@jackson.com,,,Job Title: Chief Technology Officer,"$10,100.00",2024-09-27,"$10,000.00"
2596,Person,Shelia,Yates,,2015-08-31,,,Mrs.,"Student Scholar, Major Donor 2022",Job Title: Administrative Assistant,,,
2686,Person,Jason,Kramer,,2023-06-13,oarmstrong@gmail.com,,Dr.,"Major Donor, Board Member, Summer 2016",,,,
2737,Person,Matthew,Nicholson,,2015-05-28,,,Dr.,"Summer 2016, Major Donor",,"$6,000.00",2023-08-08,"$5,000.00"
2798,Person,Jessica,Sheppard,,2019-08-20,tarasanchez@robinson.com,cgreen@hotmail.com,Mr.,"Summer 2016, Major Donor",Job Title: Graphic Designer,,,
2936,Person,Natalie,Smith,,2016-11-10,lawrence72@olson.com,tsuarez@ford.net,Dr.,"Major Donor, Pitch Perfect",,"$11,100.00",2023-03-04,$100.00
2976,Person,Unknown,Unknown-2976,,2022-05-25,ssanders@hotmail.com,,,,,"$4,000.00",2024-03-17,"$3,000.00"
3054,Person,cody,WRIGHT,,2022-08-05,yjohns@bass.com,,Dr.,"Major Donor, Board Member",,,,
3140,Person,Claudia,Chambers,,2023-09-11,bday@odom-archer.com,,,Pitch Perfect,,"$5,000.00",2023-06-10,"$3,000.00"
3141,Person,jennifer,JUAREZ,,2022-01-30,xhubbard@garcia.biz,simpsonluis@williams.com,,Student Scholar,,"$10,150.00",2022-12-08,"$10,000.00"
3194,Person,David,Villanueva,,2022-12-16,collierdiana@ortiz.com,,,"Summer 2016, Pitch Perfect, Student Scholar",Job Title: Marketing Manager,"$5,050.00",2020-03-23,"$5,000.00"
3203,Person,Joshua,Gonzales,,2022-11-10,katiecarr@daniels-olsen.com,,,"Pitch Perfect, Board Member, Summer 2016, Major Donor",Job Title: Business Analyst,"$11,000.00",2020-09-25,"$5,000.00"
3240,Company,,,Davis-Anthony,2018-03-09,hartjames@hotmail.com,hhoward@silva.org,,Pitch Perfect,Job Title: Nurse Practitioner,"$2,000.00",2020-09-16,"$1,000.00"
3434,Person,Anne,Martinez,,2018-05-23,alejandro66@patrick-curry.biz,mooresusan@yaho.com,Dr.,"Major Donor, Board Member",Job Title: Financial Analyst,"$1,500.00",2021-08-02,"$1,000.00"
3446,Person,Wanda and James,Bryant,,2015-07-16,,,,Major Donor,,$200.00,2023-09-28,$100.00
3506,Company,,,Used to work here.,2015-03-27,traciemcpherson@palmer.com,,,,,"$5,500.00",2023-02-15,"$5,000.00"
3514,Person,Kevin,Howard,,2015-11-07,christopher25@rodriguez.com,plam@hotmail.com,Mrs.,"Summer 2016, Major Donor, Pitch Perfect",,"$10,500.00",2024-07-06,$250.00
3561,Person,Unknown,Unknown-3561,,2020-12-14,campbellchristina@yahoo.com,fishermaureen@walsh-davis.info,,,,"$10,000.00",2021-08-07,"$10,000.00"
3660,Company,,,Vaughn LLC,2018-03-20,wcochran@hotmail.com,mckeeeric@ellis.com,,Summer 2016,,,,
3677,Company,,,duncan group,2015-04-14,april70@hernandez.biz,brownjames@harris-orozco.info,,"Pitch Perfect, Student Scholar, Summer 2016",,"$13,050.00",2022-06-01,"$3,000.00"
3927,Company,,,Allen-Stephens,2018-01-04,charles63@ramos.com,doughertyjesse@gmaill.com,,"Summer 2016, Major Donor",Job Title: Administrative Assistant,"$5,750.00",2024-07-26,"$5,000.00"
3953,Person,Kelly,Jimenez,,2018-02-16,greg46@hotmail.com,gregoryschmidt@outlok.com,,"Pitch Perfect, Student Scholar, Major Donor",,"$10,750.00",2024-05-04,$250.00
3973,Person,Kyle,Parsons,,2021-09-01,kaylaprice@york-vance.com,,Dr.,"Pitch Perfect, Student Scholar, Summer 2016",,"$5,150.00",2024-01-28,$50.00
4036,Company,,,"Guerrero, Diaz and Odom",2018-11-27,,,Mr.,"Student Scholar, Summer 2016, Pitch Perfect, Major Donor",Job Title: IT Consultant,"$15,000.00",2020-12-08,"$10,000.00"
4039,Person,Hannah,Clark,,2022-11-14,emilylopez@yahoo.com,brandy72@mcguire.net,,"Major Donor, Summer 2016, Pitch Perfect",Job Title: Operations Manager,"$1,250.00",2021-06-09,$250.00
4051,Person,Julia,Spencer,,2024-01-28,william10@hotmail.com,barrettsean@yahoo.com,Mr.,Major Donor,Job Title: Accountant,"$4,050.00",2024-09-05,$50.00
4107,Person,Robert,Powers,,2023-02-26,cooleyaustin@solis.com,,Dr.,,Job Title: Administrative Assistant,"$5,350.00",2021-08-02,$250.00
4348,Company,,,Ramos PLC,2015-11-27,cmarshall@hobbs.net,,,"Summer 2016, Major Donor, Student Scholar",,"$4,000.00",2020-08-20,"$3,000.00"
4526,Person,Kaylee,Wagner,,,reeveslinda@underwood.com,,Dr.,"Student Scholar, Major Donor, Pitch Perfect, Summer 2016",,$400.00,2024-06-14,$100.00
4566,Company,,,"Banks, Watkins and Gomez",2018-12-09,cynthiarogers@moore.info,,,"Major Donor, Board Member",Job Title: Chief Technology Officer,"$11,000.00",2023-02-06,$500.00
4615,Person,Laura,Jackson,,2022-07-22,,,,,,"$10,250.00",2023-10-29,"$5,000.00"
4646,Person,Jon,Hunter,,2019-01-30,edward64@hotmail.com,watsonzachary@gonzalez-ochoa.com,Mr.,"Pitch Perfect, Student Scholar, Summer 2016",Job Title: Nurse Practitioner,,,
4651,Person,Julie,Davis,,2015-03-12,,,Mrs.,"Summer 2016, Tag Test, Pitch Perfect",Job Title: Sales Executive,"$8,100.00",2022-01-07,$100.00
4668,Person,Cole,White,,2024-02-28,ereese@hotmail.com,powellrebecca@powell.biz,Dr.,"Pitch Perfect, Tag Test, Major Donor",Job Title: Project Manager,"$13,000.00",2021-10-07,"$3,000.00"
4862,Person,Cynthia,Mckinney,,2021-10-27,dwood@martinez.com,robynmooney@hotmail.com,,"Pitch Perfect, Summer 2016, Major Donor",Job Title: HR Coordinator,"$3,600.00",2024-06-12,$500.00
4926,Person,Joshua,Rush,,2018-03-20,,,,,,"$10,600.00",2020-04-17,$100.00
4944,Person,Christopher,Schneider,,2023-04-14,gdickerson@gmal.com,,,"Board Member, Summer 2016",Job Title: Marketing Manager,,,
5032,Company,,,Johnson-Mills,2018-03-21,simpsondouglas@ortiz-miles.net,allen24@yahoo.com,,"Major Donor, Major Donor 2022, Pitch Perfect",,"$3,050.00",2021-12-13,$50.00
5034,Company,,,Lawrence LLC,2017-07-02,,,Mr.,Pitch Perfect,,"$1,500.00",2022-07-25,$250.00
5049,Person,Robert,Powers,,2017-04-02,sperez@martinez.com,mendezmichelle@joseph-harris.info,Mrs.,"Major Donor, Summer 2016, Pitch Perfect",,"$3,100.00",2024-08-04,"$3,000.00"
5287,Company,,,Retired,2021-10-30,theodorewilson@blair.com,stephenweeks@barron.com,,"Major Donor, Student Scholar, Board Member",,"$9,000.00",2023-08-15,"$5,000.00"
5301,Person,Maureen,Weber,,2021-08-09,corey36@gmail.com,zacharywilliams@hotmail.com,,"Pitch Perfect, Major Donor, Summer 2016, VIP",Job Title: Business Analyst,"$20,000.00",2022-12-24,"$10,000.00"
5321,Company,,,"Cook, Walls and Ryan",2015-12-24,flowersdavid@hotmail.com,kevin68@gmal.com,,,,"$5,100.00",2021-10-07,"$5,000.00"
5418,Person,nicholas,johnson,,2015-12-21,wustephanie@hotmail.com,,Dr.,"Major Donor, Board Member, Summer 2016",,"$11,000.00",2021-03-21,"$10,000.00"
5678,Person,Unknown,Unknown-5678,,,,,,,,$850.00,2024-10-21,$250.00
5767,Person,Chase,Pena,,2020-11-20,richard99@hampton.com,,,"Pitch Perfect, Tag Test, Major Donor",Job Title: Graphic Designer,"$5,350.00",2024-12-20,$250.00
5966,Person,Jared,Burns,,2024-04-24,frazierjanice@gmaill.com,gmartinez@koch.org,Dr.,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant,"$13,100.00",2024-02-14,"$10,000.00"
5967,Company,,,Paul-Kim,2023-12-30,lisa94@wong.biz,marktorres@yahoo.com,,,Job Title: Chief Technology Officer,"$10,250.00",2018-07-02,"$5,000.00"
6020,Person,Katherine & Dan,Johnson,,2015-12-26,,,,"Major Donor, Student Scholar, Pitch Perfect",Job Title: UX Designer,"$5,000.00",2023-03-01,"$5,000.00"
6197,Person,Angela,Spencer,,2024-11-27,antoniomalone@gmail.com,xjackson@hotmail.com,Mr.,"Major Donor, Tag Test, Summer 2016, Pitch Perfect, Student Scholar",,$200.00,2022-11-04,$50.00
6339,Person,Allen,Valentine,,2022-10-15,mckaylinda@hotmail.com,,,"Student Scholar, Major Donor",Job Title: Operations Manager,"$1,500.00",2022-07-24,"$1,000.00"
6366,Person,julie,mcgrath,,2020-09-13,bjones@hotmail.com,xavierwhite@arnold-taylor.net,Mrs.,"Summer 2016, Student Scholar, Major Donor",Job Title: Sales Executive,"$6,000.00",2023-03-27,$500.00
6522,Person,Brian,Schmidt,,2019-10-01,andrea62@gmail.com,gpayne@hotmail.com,,Student Scholar,,"$1,100.00",2023-03-13,$500.00
6523,Person,Michele,Burton,,2016-12-31,browneric@patton.biz,,Mr.,"Major Donor, Summer 2016",,,,
6586,Person,Margaret,Moore,,2016-08-01,rubenwelch@yahoo.com,kevinmoore@jackson.com,,,,"$3,500.00",2022-12-01,"$3,000.00"
6605,Person,James,Trujillo,,2023-06-28,wesleyjones@gibson.com,jamesharrison@ray-sherman.com,Mrs.,"Summer 2016, Major Donor, Pitch Perfect",,"$1,250.00",2021-10-14,$250.00
6801,Person,Troy,Perez,,2016-10-03,thomaswelch@adams-castillo.com,james92@hotmail.com,,"Summer 2016, Pitch Perfect",Job Title: Marketing Manager,"$1,100.00",2018-07-26,"$1,000.00"
6816,Person,Jennifer,Hancock,,,kharris@yahoo.com,calhouneric@yahoo.com,Mr.,"Pitch Perfect, Summer 2016, Major Donor",Job Title: UX Designer,"$5,000.00",2019-11-04,"$5,000.00"
6822,Person,Nicole,Benson,,2022-10-30,,,,"Board Member, Student Scholar, Major Donor",Job Title: UX Designer,"$10,200.00",2023-05-14,$100.00
6846,Person,James,Nichols,,2022-02-04,andreahines@yahoo.com,courtneychang@hotmail.com,,"Major Donor, Summer 2016",,$100.00,2020-03-11,$100.00
7022,Person,Melissa,Harrison,,2019-08-30,ujackson@reed-perez.com,mmckinney@yahoo.com,,Major Donor,Job Title: Accountant,"$5,250.00",2024-09-19,$250.00
7040,Person,Patrick,Woods,,2022-04-19,vanessa45@yaho.com,,,Summer 2016,,$100.00,2024-07-25,$100.00
7103,Company,,,"Cross, Hutchinson and Vega",2023-07-30,michellelane@cox.com,garystevens@yaho.com,,"Board Member, Pitch Perfect, Summer 2016, Student Scholar, VIP",Job Title: Accountant,"$1,500.00",2024-08-15,"$1,000.00"
7358,Person,Amanda,James,,2016-05-11,,,,"Summer 2016, Pitch Perfect",Job Title: Graphic Designer,"$1,000.00",2022-01-24,"$1,000.00"
7369,Person,Dawn,Lindsey,,2024-03-28,jacob66@yahoo.com,snydertanya@smith.biz,Ms.,"Board Member, Pitch Perfect, Major Donor",Job Title: Administrative Assistant,"$3,200.00",2024-04-19,$100.00
7497,Person,Jennifer,Luna,,2019-02-09,robertmunoz@hotmail.com,,Dr.,Summer 2016,,"$4,050.00",2020-10-31,"$1,000.00"
7564,Company,,,Dodson-Austin,2017-09-23,yolson@gmaill.com,,Mrs.,,,$600.00,2022-07-29,$100.00
7963,Person,John,Stanton,,2015-04-24,daniel74@bryan.com,,Mrs.,"Board Member, Pitch Perfect",,"$9,500.00",2024-02-21,"$5,000.00"
8101,Person,James,Pope,,2019-05-09,howardcarlos@gmail.com,,Ms.,,Job Title: Sales Executive,"$4,500.00",2023-04-02,$500.00
8161,Person,Joshua,Gutierrez,,2021-09-19,dwilliams@hotmail.com,,Mr.,"Pitch Perfect, Summer 2016, Major Donor, Board Member",Job Title: Project Manager,"$1,550.00",2022-08-20,"$1,000.00"
8265,Person,Patricia,Curtis,,2019-09-24,lkelly@butler-bradford.biz,jessicaramirez@kim-clark.com,Dr.,"Major Donor, Pitch Perfect, Summer 2016",Job Title: Project Manager,"$8,000.00",2019-07-06,"$3,000.00"
8308,Person,Robert,Donovan,,2021-01-20,jennifernorton@hotmail.com,langtanya@gmal.com,Ms.,Pitch Perfect,,$500.00,2020-04-27,$250.00
8309,Company,,,Stephenson Ltd,2021-07-20,,,,"Board Member, Summer 2016",Job Title: Nurse Practitioner,$150.00,2020-11-10,$50.00
8361,Person,Sarah,Franco,,,umalone@yahoo.com,daltonmichael@gmaill.com,Mrs.,Summer 2016,Job Title: Accountant,"$3,300.00",2021-05-20,$50.00
8548,Person,Nicholas,Cooper,,2022-09-25,laurenfields@yahoo.com,oserrano@hotmail.com,,"Summer 2016, Pitch Perfect, Board Member",,"$6,500.00",2022-01-01,$500.00
8977,Person,James,Baker,,2020-01-19,walkerjeremy@long.org,hfoster@yahoo.com,Dr.,Student Scholar,,,,
9139,Person,nicole,CHASE,,2022-09-28,victoria52@galvan.com,adrian20@chang.com,Ms.,"Major Donor, Student Scholar, Summer 2016",,$750.00,2021-04-09,$500.00
9153,Person,Erica,House,,2015-02-03,deantravis@russo-nelson.org,burnsamber@luna-solis.net,Mrs.,"Board Member, Major Donor 2022, Student Scholar",,$100.00,2019-12-28,$100.00
9432,Company,,,"Green, Evans and Evans",2021-02-13,joshuaparker@hotmal.com,perezsarah@yahoo.com,,"Summer 2016, Student Scholar",Job Title: Marketing Manager,"$15,000.00",2019-06-20,"$10,000.00"
9655,Person,maria,KELLEY,,2018-06-30,christopher66@gmail.com,garciamark@parker.info,Ms.,"Major Donor, Pitch Perfect",,$200.00,2021-11-26,$50.00
9671,Person,Unknown,Unknown-9671,,,fsteele@hotmail.com,,,,,,,
9734,Person,yvonne,russell,,2021-02-25,victoria10@gmal.com,hansonchristine@hotmail.com,,"Pitch Perfect, Board Member, Summer 2016",,"$15,500.00",2022-10-29,$500.00
9821,Company,,,Gutierrez Group,2020-08-22,klinejose@gmail.com,brittanybenson@galvan.com,,"Major Donor, Pitch Perfect, Summer 2016",,,,
9827,Person,Cynthia,Vasquez,,2021-09-12,ryan82@yahoo.com,mark55@yahoo.com,Ms.,"Board Member, Major Donor",Job Title: Business Analyst,"$1,250.00",2024-12-26,"$1,000.00"
9859,Person,james,BURNS,,2015-06-24,michael43@hall-lee.com,harperluke@gmail.com,Dr.,"Major Donor, Pitch Perfect",Job Title: Administrative Assistant,"$3,050.00",2019-12-12,"$3,000.00"
9965,Person,Shane,Meza,,2015-09-05,kelly82@solomon.info,amber39@johnson.net,,Student Scholar,Job Title: Nurse Practitioner,"$5,100.00",2024-10-20,"$5,000.00"
